,loc,country
1630,switzerland,schweiz/suisse/svizzera/svizra
1631,euronext,ελλάς
1632,abidjan,côte d’ivoire
1633,clery st andre (orleans),france
1634,"paris, yerevan, madrid",-
1635,"vélizy-villacoublay, france",france
1636,nord du nord,france
1637,"okaga, ca",united states
1638,usa,united states
1639,"douala, cameroun",cameroun
1640,grieges,france
1641,vinland,united states
1642,"viseu, paris",portugal
1643,paris/cabestany,-
1644,ekip,philippines
1645,tkt on est la ,-
1646,mont akina,-
1647,france champagne ardennes ,france
1648,"la rochelle, poitou-charentes",france
1649,lyon sào felix d marinha dakar,-
1650,𝕖𝕒𝕤𝕥 𝕓𝕝𝕦𝕖,-
1651,"hyères, france",france
1652,"paris, rome",france
1653,"france, champagne-ardenne",france
1654,"france, breizh, an oriant",france
1655,"au sud, près de la mer",-
1656,à droite,france
1657,nord 59,france
1658,green dolphin street,united states
1659,internet,ayiti
1660,#sceaux - #paris14 - #labaule,-
1661,me dm pas j'ai la flemme,-
1662,montreuil,france
1663,à la maison ,france
1664,"agneaux, france",france
1665,"aubevoye, france",france
1666,"saint-ouen, france",france
1667,république togolaise,togo
1668,shin sekaï,-
1669,"fatima, portugal",portugal
1670,"île d'arros, seychelles",-
1671,somewhere over the rainbow,-
1672,      𝐬 𝐡 𝐞  |   𝐡 𝐞 𝐫 ⠀  綾 ⠀  ℐ 𝑤𝑖𝑙𝑙 𝑛𝑒𝑣𝑒𝑟 𝑔𝑖𝑣𝑒 𝑢𝑝 𝑜𝑛 𝑦𝑜𝑢 𝑎𝑛𝑔𝑒𝑙     ,united kingdom
1673,"ushuaia, argentina",argentina
1674,paris / charente,france
1675,"blainville, québec",canada
1676,"konoha, nord-pas-de-calais",-
1677,burdigala ,france
1678,hauts-de-france moitié nord,-
1679,"trans-en-provence, france",france
1680,brest,france
1681,bujumbura,burundi
1682,k,österreich
1683,tkt,togo
1684,"winchester, dans l’wessex",-
1685,compiègne france,france
1686,"persan, france",france
1687,stand up for freedom 🇺🇸,-
1688,paris // la rochelle,france
1689,paris - 94,france
1690,"villainville, france",france
1691,chez moi!,france
1692,"douai, france",france
1693,"stains, france",france
1694,"rue de bellechasse 68, paris",france
1695,"grigny, batismall",-
1696,un peu partout et nul part,-
1697,la france profonde,france
1698,sous l’océan,canada
1699,"cadiz, spain",españa
1700,"lyon, 🇫🇷 ",france
1701,"#paris14 #senart, ile-de-france",-
1702,"lot et garonne, france",france
1703,london,united kingdom
1704,"fréjus, france",france
1705,95270,france
1706,"montmorillon, france",france
1707,59/62,россия
1708,"lorraine, franche-comté",france
1709,panthekhey,-
1710,la rochelle - france,france
1711,nîmes,france
1712,"guyancourt, france",france
1713,ville de l'étoile filante,-
1714,send money ,-
1715,chartres,france
1716,dans pubmed pour toujours,-
1717,location,united states
1718,mobile,united states
1719,guadeloupe ☀️,france
1720,morioh,-
1721,paris-bastia,-
1722,"chiyoda-ku, tokyo, japan",日本
1723,"villeneuve-sur-lot, aquitaine",france
1724,13600 nouider ,-
1725,pen ar bed #bretagne ,france
1726,sant'angelo dei lombardi,italia
1727,"lausanne, switzerland",schweiz/suisse/svizzera/svizra
1728,dans une zone de guerre.,-
1729,kribi,cameroun
1730,saint cyr sur loire,france
1731,o povo é quem mais ordena,-
1732,#teamsarkozy #ns2017,-
1733,"senegal,dakar liberté 6",sénégal
1734,illium,united states
1735,"saint-quentin, france",france
1736,berlin,deutschland
1737,paris/montpellier/lille/nantes,-
1738, bretagne,france
1739,"les lilas, france",france
1740,juste là  pour  l'essentiel,-
1741,poitou charentes france,france
1742,+ de 120 k utilisateurs,-
1743,"roussillon, france",france
1744,en bourgogne... 🍇,france
1745,"bergerac, france",france
1746,62 france,france
1747,hampstead ,united kingdom
1748,"nantes, france,centre du monde",france
1749,neuilly-sur-seine (france),france
1750,français | italiano,-
1751,🎶 behind blue eyes 🎶,-
1752,chez moi 😁,france
1753,"auch, france",france
1754,"chambéry, france",france
1755,yaounde,cameroun
1756,"porto alegre, brasil",brasil
1757,emirdağ | eskişehir 🇹🇷,türkiye
1758,entre strasbourg et porto,-
1759,"lausanne, genève  suisse",schweiz/suisse/svizzera/svizra
1760,la yaute,france
1761,"marie galante en guadeloupe, f",-
1762,eshoun meradz deghe,-
1763,"clermont, france",france
1764,socio le media,-
1765,"kampala, uganda",uganda
1766,"plateau-mont-royal, montréal",canada
1767,"bray-sur-seine, france",france
1768,dakar,sénégal
1769,bourges,france
1770,🇫🇷castenau le lez 34170,-
1771,champagne france,france
1772,rishon lezyion,-
1773,north pôle ,north pole
1774,anorexia•bulimia|19 y |164 cm,-
1775,dans mon cul ( s est vrai ),-
1776,dans ton back...,-
1777,monde,france
1778,paris/lyon,france
1779,"vanves, france",france
1780,partout au québec,canada
1781,"conflans-ste-honorine, france",france
1782,colombes,france
1783,montpellier. france,france
1784,"beauvais, france",france
1785,kamernistan,-
1786,"bali, indonesia",indonesia
1787,"saint-louis, sénégal",sénégal
1788,bruxelles (11k evere) ,belgië / belgique / belgien
1789,singapour,singapore
1790,"221b, baker street (bruxelles)",-
1791,calais / lille,france
1792,urss française,-
1793,kinshasa/ rdc,république démocratique du congo
1794,les mines de la moria.,-
1795,sur terre ,belgië / belgique / belgien
1796,"lagny-sur-marne, france",france
1797,trébeurden,france
1798,dans le coeur de monsieur,-
1799,iceland,ísland
1800,"corpeau, france",france
1801,north of france ,united kingdom
1802,nouvelle-calédonie,france
1803,"châtellerault, france",france
1804,région alsace en france,france
1805,adios bahamas,-
1806,everywhere,ελλάς
1807,"canton de berne, suisse",schweiz/suisse/svizzera/svizra
1808,normandy,france
1809,"berlin, allemagne",deutschland
1810, 🌍 ch/fr/us,united states
1811,sans,france
1812,"le caire, egypte",مصر
1813,"epernay, france",france
1814,afrique  ,africa
1815,wesh je sais pas moi ta craqué,-
1816,paris / bourgogne,france
1817,paris-monde-thailande,-
1818,gammarth's golf-tunisia,-
1819,pyrénées-orientales et aude,-
1820,+18,france
1821,allianz arena ,deutschland
1822,roanne 42,france
1823,"clohars-carnoët, france",france
1824,maroc,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
1825,"drôme ardèche, rhône-alpes",france
1826,"kebayoran lama, indonesia",indonesia
1827,92390 villeneuve-la-garenne,france
1828,zurich,schweiz/suisse/svizzera/svizra
1829,pau-beyrouth-ghisonaccia,-
1830,paris 🇫🇷 / buenos aires 🇦🇷,argentina
1831,яoyaume chяétien de fяance,-
1832, belgique,belgië / belgique / belgien
1833,17000 la rochelle,france
1834,solar / earth / france,-
1835,lyon x romans,france
1836,"parigi, francia",france
1837,ma bretagne quand elle pleut🌧,-
1838,"ajaccio, republique de corse. ",-
1839,territoires de france ,france
1840,charente maritime,france
1841,"vierzon, france",france
1842,tunisie,تونس
1843,somewhere ,中国
1844,gzenaya 🌸,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
1845,pont scorff,france
1846,"wittelsheim, france",france
1847,petite partie du vaste monde ,-
1848,guyane / paris,france
1849,picardie,france
1850,somewhere...mother earth...,-
1851,montpellier et ailleurs,-
1852,liam saw me 13.07.17,-
1853,ne connaissons pas la pitié...,-
1854,paris / libreville / owendo,-
1855,gab @antidote_red ,-
1856,france/afrique,united kingdom
1857,"calais, france",france
1858,montalieu vercieu,france
1859,32%,france
1860,tokyo japan,日本
1861,dans le potager,-
1862,pas si loin ,france
1863,cannes,france
1864,maine et loire,france
1865,"wolfgantzen, france",france
1866, entre-nous en france,france
1867,"toul, france",france
1868,paca un jour de juin 73...,-
1869,"yaoundé à paris, via windhoek ",-
1870,citoyen du monde,-
1871,"clamart, france",france
1872,reunion,france
1873,pôle nord,north pole
1874,loiret / haute savoie,-
1875,13,france
1876,rue montoyer 51 1000 brussels,belgië / belgique / belgien
1877,"22 acacia avenue, 666 avalon",-
1878,nouvelle aquitaine,france
1879,rive-nord,canada
1880,en manif ~ ,-
1881,"rennes, bretagne ",france
1882,pocus gang,united states
1883,dans la légende 𓈑,-
1884,::1,tanzania
1885,"vandoeuvre-lès-nancy, france",france
1886,"nord-du-québec, 52e parallèle.",canada
1887,🥱,-
1888,lyon & paris,france
1889,brive la gaillarde,france
1890,là où le vent me mène,-
1891,france 🇫🇷 pologne 🇵🇱,france
1892,pau ,france
1893,creuse,france
1894,email : mohaboug24@gmail.com,-
1895,"saint-jérôme, laurentides",canada
1896,"belgique 7500 tournai,",belgië / belgique / belgien
1897,wano,indonesia
1898,panama,panamá
1899,européenne avant tout,-
1900,"paris, terre",italia
1901,yorubaland,nigeria
1902,"noisy-le-grand, france",france
1903,où? là🌍🌎🌏,中国
1904,91,france
1905,"cork, irlande",éire / ireland
1906,upper east side,united states
1907,in alicia’s boobs 19 she/her,-
1908,paris - l’ile d’oléron,-
1909,châteauroux,france
1910,dworaczekbendom,-
1911,"metcalfe, ontario",canada
1912,egypt,مصر
1913,bh,bosna i hercegovina / босна и херцеговина
1914,𝓛é𝓪,中国
1915,montréal canada,canada
1916,"florida, usa",united states
1917,chatillon,france
1918,left milano living strasbourg,-
1919,le cercle ,france
1920,"séoul, corée du sud",대한민국
1921,villers la ville,france
1922,"malakoff, france",france
1923,   ⛵️. ville de québec  ⛵️,philippines
1924,kgb,россия
1925,cesson,france
1926,orléans & montargis,france
1927,dans l'univers,france
1928,"genève, new york, san francisco, pékin, tokyo",-
1929,ici et ailleurs 🌍,france
1930, comté de boone,united states
1931,somewhere.....else,united kingdom
1932,en champagne,france
1933,"saint-cuthbert, québec",canada
1934,pays basque,españa
1935,orleans/mtp/gwada/la mer,-
1936,la capitale,france
1937,rhône-alpes,france
1938,dans mon eucalyptus ^^ ,-
1939,hogwarts ,kenya
1940,reims / charleville,france
1941,île de la réunion,france
1942,20ème ,france
1943,"tournai, hainaut, belgique.",belgië / belgique / belgien
1944,courbevoie,france
1945,"pays de rennes, breizh",france
1946,"laugh tale, shin sekai",-
1947,saint-pierre et miquelon,france
1948,urss-archaïstefrançaise,-
1949,"non fides, non spes, scientia ",-
1950,"rome, italie",italia
1951,pyrénées-atlantiques,france
1952,france...bretagne,france
1953,waziers,france
1954,rép démocratique du congo ,-
1955, europe,ōu
1956,paris | tours,france
1957,valenciennes,france
1958,belgique ,belgië / belgique / belgien
1959,covid19 land,deutschland
1960,derrière mon écran ,-
1961,paris18è et deux sèvres,-
1962,idiocracy,-
1963,100€ unibet + 3 mois vip:,-
1964,𝓟𝓵𝓪𝓷𝓮𝓽 𝓔𝓪𝓻𝓽𝓱,-
1965,washington d.c,united states
1966,"allauch, france",france
1967,le plus souvent dans le tgv. ,-
1968,créteil,france
1969,"mons, belgique",belgië / belgique / belgien
1970,"abidjan, paris",france
1971,canada australie nz japon,-
1972,paris / antibes ,france
1973,ᖴᖇᗩᑎᑕe,-
1974,lugdunum,france
1975,martinique ,france
1976,danemark,danmark
1977,"conchil-le-temple, france",france
1978,kouloudioungou,-
1979,salaberry-de- valleyfield,canada
1980,"mallemort, france",france
1981,"lorraine, france contrexeville",france
1982,the garden of england,united kingdom
1983,là où ça l'arrange,-
1984,29n & 29s  #pennarbed  #breizh,-
1985,"bourgoin-jallieu, france",france
1986,planète végéta ,france
1987,nouvelle aquitaine ,france
1988,thiais - val de marne - france,france
1989,lille  🔮,france
1990,"angoulême, france",france
1991,"var, provence-alpes-côte d'azu",-
1992,"maisons-alfort, france",france
1993,#teamghostvolcanosocks 👻🌋🐙 ,-
1994,lausanne - suisse,موريتانيا
1995,montréal/paris/chez moi...,-
1996,patelin sur rhône ,-
1997,"baltimore, md",united states
1998,suivi par la nsa,-
1999,univers 7,france
2000,belleville📍,france
2001,"nogent-sur-marne, france",france
2002,moroni - comores,comores komori جزر القمر
2003,caen / le mans,france
2004,suisse 🇨🇭,schweiz/suisse/svizzera/svizra
2005,"lubbock, tx",united states
2006,"montréal, qc",canada
2007,alpes de haute provence france,france
2008,bastia ,france
2009,patagonie orientale,-
2010,lot et garonne 47,france
2011,paris - grenoble,france
2012,"vence, france",france
2013,st forget (78)/argenteuil (95),-
2014,chicago,united states
2015,𝐵𝑙𝑎𝑐𝑘𝑙𝑖𝑣𝑒𝑚𝑎𝑡𝑡𝑒𝑟,-
2016,sur un lointain astéroïde,-
2017,artois picardie ,france
2018,middle of nowhere,canada
2019,"batellu, ventiseri, france",-
2020,"montpellier,sarcelles,971,224",-
2021,17.10.20 ♡,türkiye
2022,"etretat, france",france
2023,kolderveen,nederland
2024,münchen/munich-germany,deutschland
2025,metz sud,australia
2026,"vers l'alambic, pte de la zone",-
2027,"albi, france",france
2028,en facetime avec diloş,-
2029,"milan, lombardie",italia
2030,"nantes, pays de la loire",france
2031,vers loiiiiiiin là-bas,-
2032,"près de chartres 28, france",france
2033,"divinópolis, brasil",brasil
2034,ile de beauté,france
2035,johanna,comores komori جزر القمر
2036,"granby, québec",canada
2037,clohars-carnoët,france
2038,la villa des keurbrizés,-
2039,ghazaouet                     ,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
2040,she/they ,united states
2041,"vaudreuil-dorion, québec",canada
2042,winterfell ,united states
2043,"rixensart, belgique",belgië / belgique / belgien
2044,"islington district , paris 3",-
2045,#banlieue,guinée
2046,cartel de sinaloa,-
2047,"france, bourgogne",france
2048,official account,-
2049,"les mureaux, ile-de-france",france
2050,𝟗𝟐𝟏𝟐𝐳,österreich
2051,aaaaaah,-
2052,"sud, france",france
2053,bas-st-laurent,canada
2054,alençon,france
2055,albert et pays du coquelicot,-
2056,ivorian global citizen,-
2057,aile gauche,france
2058,bordeaux france,france
2059,"annecy, rhône-alpes france",france
2060,axel.vaillant@gmail.com,-
2061,domine le monde,-
2062,senegal 📍 p.a ☣ ,philippines
2063,3r,india
2064,"san andrés, colombia",colombia
2065,san junipero,united states
2066,aquae sextiae,france
2067,alternative reality,-
2068,sarlat-la-canéda/dordogne (24),france
2069,"norrköping, sverige",sverige
2070,ottawa,canada
2071,masculin,türkiye
2072,7ème planètes avant le soleil,-
2073,"paris 17ème, france",france
2074,somewhere in france ,-
2075,"france, panama, maroc, usa",-
2076,montreuil | rio | casablanca,-
2077,"metz, lorraine",france
2078,"saint-malo, bretagne",france
2079,"chantilly, france",france
2080,"burton upon trent, england",united kingdom
2081,"liège, belgium",belgië / belgique / belgien
2082,nibiru,italia
2083,tu vois toulouse?? bah à coté ,-
2084,"rdc, lubumbashi ",république démocratique du congo
2085,"mâcon, france",france
2086,est de l’ontario,canada
2087,dàkàr - sénégàl,sénégal
2088,paris st malo,france
2089,"saint-raphaël, france",france
2090,aincrad,-
2091,sirine | he/him,-
2092,forum autour de la longevité  ,-
2093,𝑲𝒖𝒓𝒅𝒊𝒔𝒕𝒂𝒏,-
2094,"gouvernorat de tunis, tunisie",تونس
2095,alkmaar/ brussel ,nederland
2096,instant dungeon,-
2097,riviere du loup,canada
2098,"centre, france, tours",france
2099,valhalla,united states
2100,"le mans, pays de la loire",france
2101,🇪🇸,-
2102,mrs,france
2103,#jenemeconfineraispas,-
2104,thessaloniki greece,ελλάς
2105,earth orbiting around the sun.,-
2106,so far away from l.a. ,-
2107,"rennes | caen, france",france
2108,post le melon ,-
2109,59,france
2110,partout dans le monde,-
2111,paris | rennes ,france
2112,"ohio, usa",united states
2113,présent,france
2114,au bout du rouleau,france
2115,"brazzaville, congo",congo
2116,france-tunisie,france
2117,https://youtu.be/bovcktfy9r4,-
2118,à l'église ,france
2119,là où le vent m'emporte...,-
2120,"roubaix, france",france
2121,rennes  📍,france
2122,lyon-guyane,-
2123,île-de-france,france
2124,"rooooh, vous êtes bien curieux",-
2125,bikini bottom 🇨🇩🇬🇦,việt nam
2126,athenes- ailleurs,-
2127,grasse france,france
2128,#paris15,-
2129,belgique ( liège) ,belgië / belgique / belgien
2130,ottawa (ontario) canada,canada
2131,afrique,africa
2132,planet terre klk fois marciale,-
2133,"marseille, france allez l'om",-
2134,"marrakech, maroc ",maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
2135,mastodon: @imprecator@mamot.fr,-
2136,cenon palmer/bordeaux fra/rdc,-
2137,deauville,france
2138,"48.88222600,2.380691000",france
2139,za warudo,日本
2140,royal coconut grill club,-
2141,région de bruxelles-capitale,belgië / belgique / belgien
2142,malvina ❤️,united states
2143,+ de 45 k utilisateurs,-
2144,sotbc,-
2145,"fameck, france",france
2146,"camp nou, barcelona ",españa
2147,01300 bugeysud,-
2148,"verfeil, france",france
2149,loin de vous ,-
2150,france occitanie,france
2151,rouen (ne a royan),-
2152,au profond du coeur,-
2153,"condren, france",france
2154,agen,france
2155,en taqîya dans le pays ami,-
2156,genève. suisse,schweiz/suisse/svizzera/svizra
2157,apollo theater,united states
2158,sqy angeles,-
2159,mtl. québec ,canada
2160,"rimouski, québec",canada
2161,sete 34200,france
2162,aubusson (creuse),france
2163,ciel europe ,bénin
2164,"puteaux 92800, france",france
2165,corse ,france
2166,"niort, france",france
2167,paris ✈ montréal ,france
2168,"nice, france - côte d'azur",france
2169,gianni_der👻,italia
2170,🇫🇷⚜️,-
2171,"lusaka, zambia",zambia
2172,"evry, france",france
2173,mi ché lille,-
2174,seine-saint-denis et normandie,-
2175,nordsud,italia
2176,quadrant alpha.,-
2177,at a bts concert ,-
2178,dtc .,united states
2179,close to you,united states
2180,"croissy sur seine, france",france
2181,"mostly home, pandemic county",-
2182,"bouches-du-rhône, provence-alpes-côte d'azur",france
2183,dans le❤️ de s,france
2184,à la recherche du bonheur 🤧,-
2185,beyoncéland,-
2186,"meurthe-et-moselle, lorraine",france
2187,"corrèze, limousin",france
2188,chez willy ,nederland
2189,switzerland ,schweiz/suisse/svizzera/svizra
2190,u n l e a s h   t h e...,-
2191,corneille del vercole 66200,-
2192,morlaix,france
2193,poznań polska,polska
2194,"hawaï, usa",united states
2195,suriname,suriname
2196,arkham city ,australia
2197,"florange, france",france
2198,"cesson, france",france
2199,"corse-du-sud, corse",france
2200,lune,монгол улс ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ
2201,chatka puchatka,polska
2202,nantes ,france
2203,partout chez moi,-
2204,🏙️,-
2205,"kinshasa,#drc",république démocratique du congo
2206,montoire sur le loir,france
2207,"centre, cameroon",cameroun
2208,somewhere,中国
2209,sudouestie,-
2210,"97 rue du bac, 75007 paris",france
2211,kamaraimo,-
2212,auvergne rhône alpes,france
2213,rufisque - dakr - sénégal,-
2214,"palaiseau, france",france
2215,a l'est d'eden ,belgië / belgique / belgien
2216,"thorigny-sur-marne, france",france
2217,corée du sud,대한민국
2218,he/him/son of god,-
2219,tunisie / turquie,تونس
2220,je taime pas ,-
2221,"saint-flour, france",france
2222,nogent sur marne (94),france
2223,"porto, portugal",portugal
2224,"merde, tj idf là dehors !",-
2225,tanger,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
2226,earth/northern hemisphere/usa,-
2227,yes we couille,-
2228,aulnay-sous-bois 3000,france
2229,planete terre,france
2230,la garde,france
2231,bertrix,belgië / belgique / belgien
2232,ifriqya,-
2233,à côté de la plaque ,schweiz/suisse/svizzera/svizra
2234,mystic falls,united states
2235,"plagne, france",france
2236,42320 la grand-croix,france
2237,fodfwans ,france
2238,ooooooooooo,-
2239,au pays de kanzi (by @go3thik),-
2240,black lives matter,united states
2241,derriere toi,-
2242,democratic republic of congo,zambia
2243, provence france,france
2244,en enfer ,france
2245,"village de konoha, nantes",-
2246,52100,lietuva
2247,guadeloupe ,france
2248,fès-lahore-bejaia,-
2249,uk,united kingdom
2250, 17 ,france
2251,"palaiseau (91), france",france
2252,vaucluse,france
2253,"marseille, france ",france
2254,istres ,france
2255,neverland,united kingdom
2256,lyon/châteauroux ,-
2257,domont/groslay,-
2258,"somain, france",france
2259,"noyelles-sous-lens, france",france
2260,alta gracia - córdoba,argentina
2261,segré49500,-
2262,dans poussifeu,-
2263,worldwide,república dominicana
2264,camp de base k2 ,canada
2265,quelque part sur la terre ,-
2266,"annecy, france",france
2267,"finistère, absurdistan",-
2268,"bachkirie, russie",россия
2269,guadeloupe / idf ,france
2270,suisse🇮🇹,schweiz/suisse/svizzera/svizra
2271,britannia,united kingdom
2272,district 93 - shiganshina,-
2273,"casablanca, المغرب",maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
2274,"cholet, france",france
2275,cht'i breton maintenant,-
2276,strasbourg / setúbal,-
2277,"fontaines-saint-martin, france",france
2278,#guyane francaise,france
2279,r💕,brasil
2280,"paris, braga",portugal
2281,"annecy-le-vieux, france",france
2282,"ottawa, canada",canada
2283,http://compte-a-rebours-emmanu,-
2284,♈♉♊♑♐♏♏⛺⛺⛺⛺⛺,-
2285,"bourg-en-vol, hoenn",-
2286, 🏠 💕(64) et 💕🇨🇭(vs),schweiz/suisse/svizzera/svizra
2287,entre mars et avril ,-
2288,she/her — 20,-
2289,larzac france,france
2290,north by northwest,united states
2291,angers (atlantis+wakanda+mu),-
2292,entre catalogne et euzkadi,-
2293,57 ,france
2294,"alberta, canada",canada
2295,"helsinki, finlande",suomi / finland
2296,"paris, france - orléans france",france
2297,92i,polska
2298,paris-provins-meaux-coulom.,-
2299,saint-jacques-de-la-lande.,france
2300,💃🏾,-
2301,sud-ouest  occitanie ,france
2302,"villennes-sur-seine, france",france
2303,91 🏴‍☠️,france
2304,iles des enfants perdus,-
2305,"condrieu, france",france
2306,sene ,france
2307,mout&ju  || she/her,-
2308,grigny ,france
2309,planète terre ,france
2310,sur les 5 continents,-
2311,caribbean 📍,united states
2312,"los angeles, ca",united states
2313,gusteko,-
2314,"pyrénées-orientales, languedoc",france
2315,"hérault, languedoc-roussillon",france
2316,orwellie septentrionale,-
2317,"douai, lille",france
2318,"château-rouge, france",france
2319,douala fine ,-
2320,"meknès, royaume du maroc",maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
2321,baltigo,-
2322,de #ourplanet,-
2323,canton de lunel / hérault,-
2324,"montreux, suisse",schweiz/suisse/svizzera/svizra
2325,pays moteur 🇨🇩,france
2326,二次元にだいぶ近い三次元,-
2327,taïwan,臺灣
2328,"le bourget, france",france
2329,montauban,france
2330,manche,france
2331,ns sommes voisins,-
2332,"dijon, france ",france
2333,"berrechid, royaume du maroc",maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
2334,"morbihan, bretagne 📍",france
2335,saint paul,united states
2336,buttes-chaumont et la puisaye ,-
2337,waar wi,-
2338,💙🤍,-
2339,auschwitz,polska
2340,i wish i was from nyc,-
2341,"montigny-sur-crécy, france",france
2342,ae86,españa
2343,@ebenyaakoffeld@mastodon.top,-
2344,casa/dakar/paris/abidjan/bxl,-
2345,20/10/18 - 07/06/19,-
2346,la face cachée de la lune ,-
2347,earth 🌍 france 🇫🇷,france
2348,entre la rochelle & paris,-
2349,excuse prank,-
2350,villeneuve-sur-lot,france
2351,"villeneuve-le-roi, france",france
2352,poitou-charentes.,france
2353,📩 dm ouverts,-
2354,lille & paris. 🌍,france
2355,labo d'orochimaru,-
2356,italy,italia
2357, un monde des chamans pur !,-
2358,la beaujoire ,france
2359,mars,france
2360,mostaganem                    ,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
2361,paris et ailleurs,france
2362,#dtc,united states
2363,"châteauroux, france",france
2364,in da hoodz,-
2365,"montluçon, france",france
2366,loin d’ici...,-
2367,abidjan ,côte d’ivoire
2368,"paris vi, france",france
2369,#ensembleavecmacron ,-
2370,laputa,éire / ireland
2371,wattignies,france
2372,"laval, québec",canada
2373,chez satan ,-
2374,"rennes, ille&vilaine, bretagne",france
2375,lomé togo,togo
2376,paris xiii ,france
2377,ǝʌɐ uooɯʎǝuoɥ,-
2378,"amboise, france",france
2379,tours centre du monde,france
2380,94 ,france
2381,courbevoie ,france
2382,m a r s e i l l e. xiii•v,-
2383,wonder land🇭🇺,ประเทศไทย
2384,"tbilissi, géorgie / საქართველო",საქართველო
2385,france 🇫🇷 ,france
2386,ddd,türkiye
2387,from marseille to paris,-
2388,laugh tale,-
2389,ailleurs ,france
2390,israel ,ישראל
2391,en direct du futur,-
2392,gone francilien,-
2393,"fontenay-sous-bois, france",france
2394,55,france
2395,chatillon paris ,france
2396,lens,france
2397,papeete,france
2398,barcelona,españa
2399,"aigremont, yvelines, france",france
2400,sur le chemin de ton coeur,-
2401,"gers, france",france
2402,🐇🐣  she/her,polska
2403,"dakar , sénégal",sénégal
2404,leeleeland,-
2405,swiss,schweiz/suisse/svizzera/svizra
2406,into the badlands aulnay,-
2407,provence - var 83 - france,france
2408,east asia overpass,-
2409,à l'ouest (de paris...),-
2410,saint alban,france
2411,herault,france
2412,"raleigh, nc",united states
2413,"puy-de-dôme, auvergne",france
2414,"malibu, ca",united states
2415,"rabastens, tarn",france
2416,60 🌲,france
2417,beigeville (help me plz),-
2418,"catalogne, espagne",españa
2419,"longueuil, québec, canada",canada
2420,nantes ;,france
2421,"corse, france",france
2422,madrid,españa
2423,lubumbashi,république démocratique du congo
2424,algeria,algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر
2425,she/her // infp-t,-
2426,"roanne, france",france
2427,paris 14eme ,france
2428,"chalon-sur-saône, france",france
2429,rimouski,canada
2430,france proche de paris,-
2431,free seojun,-
2432,absurdie,-
2433,abidjan côte d'ivoire #afrique,côte d’ivoire
2434,🇧🇪 2️⃣6️⃣ ,france
2435,paris-le puy-en-velay-abidjan,-
2436," bullet,suisse.",schweiz/suisse/svizzera/svizra
2437,paris 17,france
2438,à 101km ça passe 🤔?,-
2439,brest - france,france
2440,dunkerque,france
2441,as cachadas is not ponteareas,-
2442,"merelbeke, belgië",belgië / belgique / belgien
2443, suisse,schweiz/suisse/svizzera/svizra
2444,"dakar, sénégal",sénégal
2445,"thionville, france",france
2446,"provence-alpes-côte d'azur, france",france
2447,"barcelona, cataluña",españa
2448,🐺,-
2449,global,canada
2450,"québec, qc",canada
2451,pres de lille ,france
2452,toulouse ,france
2453,paris. france,france
2454,"france,grenoble",france
2455,saint andré lez lille,france
2456,alsace france,france
2457,dakar sénégal,sénégal
2458,"saint genis laval, lyon",france
2459,solar system,united states
2460,sweetzerland genf,schweiz/suisse/svizzera/svizra
2461,dans ma ville ,france
2462,canada et le monde,-
2463,"chamonix-mont-blanc, france",france
2464,dans mon q 😳,france
2465,paris - lyon - thionville,-
2466,anti lrem  ,-
2467,paris belleville ,france
2468,rabat - salé - zemmour - zaër,maroc / ⵍⵎⵖⵔⵉⴱ / المغرب
2469,dans un volcan 🤣,-
2470,"sarrebourg, france",france
2471,absurdistan en macronie,-
2472,91's 🫀,suomi / finland
2473,normand expatrié à sainté,-
2474,93 empire,united states
2475,bretonnie,france
2476,zone mondiale,liberia
2477,lucky dube’s univers❤️,-
2478,montbrison,france
2479,"paris, xix",france
2480,🗼école d'exorcisme de tokyo ,-
2481,"alma, québec",canada
2482,"bordeaux, fr  🏳️‍🌈 bienvenue",france
2483,paradise,united states
2484,barentin (rouen) 76,france
2485,"kingston upon thames, london",united kingdom
2486,geneva,schweiz/suisse/svizzera/svizra
2487,middlefr,-
2488,twᵢₜₜₑᵣ,臺灣
2489,gablapute,-
2490,"chalon-/saône,mervans, france",france
2491,🌎 🇪🇺 🇫🇷 🦁,-
2492,kinshasa ,république démocratique du congo
2493,haiti,ayiti
2494,paris. ,france
2495,royaume de france,france
2496,"saint-julien-les-rosiers, languedoc-roussillon",-
2497,rajablanca 💚,-
2498,vernon (27),united states
2499,"montélimar, leucate 🇫🇷 🇪🇺",-
2500, ,-
2501,"clermont-l'hérault, france",france
2502,"asie du sud-est, cambodge",-
2503,mondragon,france
2504,"province de qc, canada.",canada
2505,#kinshasa,république démocratique du congo
2506,l'algiré,united states
2507,nara's home,-
2508,"morsiglia,  (cap corse  france",-
2509,bouches-du-rhône,france
2510,"châtenay-malabry, france",france
2511,"rotterdam, pays-bas",nederland
2512,dans phantom manor,-
